,age,occupation_level,education_num,familiarity_FB,view_FB,interested_insurance,years_with_employer,hours_per_week,sex,demographic_characteristic,yearly_salary_estimate,capital_estimate,capital_evaluation,hours_band,marital_status_Divorced,marital_status_Married-AF-spouse,marital_status_Married-civ-spouse,marital_status_Married-spouse-absent,marital_status_Never-married,marital_status_Separated,marital_status_Widowed,workclass_?,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay
65,31,1,17,5,5,1,1,40,1,309974,15403.5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2626,28,6,17,1,7,0,2,20,0,107218,26520.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1489,39,8,12,5,2,0,5,40,1,71701,20448.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
504,47,6,18,9,10,0,3,42,0,87490,23534.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166,33,9,17,9,4,1,2,65,0,37274,24324.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1294,17,4,8,8,1,0,0,30,0,333100,18660.0,1,1055,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1580,19,7,13,2,6,1,0,10,1,197384,22232.28,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2482,59,11,13,1,1,0,7,34,0,90290,31538.88,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
362,45,2,13,10,2,1,7,40,1,96975,16539.84,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1791,47,14,13,5,1,1,20,70,0,363418,49915.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1442,26,14,13,9,8,0,2,35,1,310907,51873.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
625,21,6,13,2,6,1,2,30,0,163870,18122.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
62,49,8,13,8,8,0,8,50,0,191681,25079.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2606,42,11,14,9,3,1,19,60,0,27821,37629.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2661,40,7,13,1,5,0,3,35,1,141583,23124.09,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1008,37,10,14,2,4,1,6,38,1,189382,34520.33,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
178,47,11,13,3,10,0,6,45,0,120939,28124.84,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2562,47,16,12,2,4,0,8,60,0,148995,84233.0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2108,34,8,16,9,8,0,2,45,1,64830,23412.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1927,31,6,17,2,6,0,1,40,0,60186,20500.92,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,54,9,13,7,2,1,17,60,0,180211,27550.44,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2250,42,7,12,9,7,0,4,35,0,209392,25253.28,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1046,25,8,18,9,7,1,6,99,0,404616,23030.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2294,39,9,14,5,4,1,1,20,1,172425,21924.87,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1979,35,3,12,8,4,0,1,40,1,47707,21978.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
587,70,4,6,9,6,1,34,15,1,167358,20108.0,1,1111,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1851,20,12,10,8,3,1,2,40,1,176321,33741.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
715,68,12,9,4,8,0,34,20,0,315859,32180.29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1351,59,8,17,8,10,0,22,40,0,125000,18691.67,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2222,55,4,12,5,4,0,9,40,0,66356,18213.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2554,25,2,10,7,5,0,1,43,0,98281,17387.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
73,31,3,5,2,7,0,0,40,0,125927,19380.96,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
214,41,6,12,7,4,0,2,38,1,130408,19688.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1832,49,12,13,2,5,1,12,40,0,213307,34899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2542,21,10,13,5,9,1,2,37,1,85088,31434.12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
709,23,4,12,1,4,0,1,40,1,211046,15285.0,1,2463,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1968,32,7,17,2,3,1,8,40,0,157287,26399.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1145,50,16,12,6,10,0,1,40,1,88926,74937.0,1,5178,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
769,48,4,9,9,8,1,4,50,0,285335,16773.5,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1277,18,10,13,1,1,1,1,15,1,169882,27634.0,1,594,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1059,51,14,18,6,1,1,5,40,0,165637,50296.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2383,70,14,17,2,3,1,27,70,0,94692,53395.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2369,23,8,12,1,5,0,0,40,1,334357,29777.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2058,21,4,14,8,8,1,0,40,0,212619,19336.64,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
274,37,13,17,6,2,0,7,60,1,57424,48656.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
518,31,12,17,7,3,0,9,40,0,340939,42778.92,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
782,49,3,6,7,6,0,6,40,1,72393,16208.76,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2657,27,8,13,2,2,0,0,40,1,37933,24315.12,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1853,20,6,13,3,5,0,2,32,0,376474,20263.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
994,41,10,12,1,6,0,4,50,0,227644,33449.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
147,68,9,3,6,8,1,3,20,1,38317,29829.24,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
266,25,2,17,9,2,1,0,40,1,371987,14687.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1779,35,3,13,2,5,0,2,40,1,343403,19037.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2117,34,8,17,5,1,1,1,70,0,158420,23473.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2242,60,10,4,8,3,0,6,40,1,162947,33909.72,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,22,4,12,8,4,1,1,41,0,102632,18548.81,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1485,44,6,17,4,9,1,2,40,0,110355,23197.32,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2670,44,10,18,3,7,1,2,48,0,178385,29527.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2524,36,7,18,8,9,1,10,60,0,107302,20870.64,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
515,57,4,12,7,2,0,12,40,0,69884,18999.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1798,51,10,12,2,8,0,15,38,0,196504,27364.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2612,35,9,8,9,5,0,1,70,0,207202,28395.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
762,48,14,21,3,6,1,7,50,0,327886,60463.68,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1322,43,6,17,5,6,1,0,40,0,293535,16198.56,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
497,54,6,17,3,5,0,10,35,0,212960,17130.36,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
774,17,7,9,3,5,1,0,28,0,368700,18083.64,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1586,24,12,12,6,3,1,3,40,0,228424,39753.36,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1855,42,12,18,4,7,0,6,40,0,111252,36728.0,1,-1977,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2255,25,3,10,2,9,0,1,40,1,374918,18177.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
323,31,1,17,6,9,1,6,25,0,156464,17963.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
122,37,11,17,6,2,1,3,50,0,254202,36510.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1313,69,6,18,6,8,0,1,11,0,208869,16040.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2587,29,4,18,8,3,0,0,40,0,123983,18945.36,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2084,63,13,18,5,2,0,12,50,0,97855,50744.5,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
202,25,3,8,4,3,0,0,40,0,255004,18865.08,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2360,28,6,4,5,1,0,1,40,1,128509,23710.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,50,4,17,9,6,1,28,13,0,83311,16945.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
692,23,11,14,2,1,0,2,56,0,282579,34555.5,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
779,38,8,14,4,7,0,4,40,1,411797,26521.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2232,76,8,13,3,6,1,6,8,0,152802,22144.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
443,26,1,13,8,7,1,1,35,1,64293,18141.59,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2531,40,4,12,3,2,1,1,40,0,367533,17981.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
333,43,8,17,9,2,0,3,45,0,180609,23103.76,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2337,41,8,17,6,3,0,17,40,0,304906,24543.34,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1321,26,5,12,10,7,0,1,25,0,256263,16262.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1571,45,9,9,9,6,0,18,40,1,99179,23054.74,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1108,38,5,13,5,1,0,11,12,0,165799,20191.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1881,26,4,17,7,1,1,2,16,0,125680,23623.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1410,26,8,12,8,1,0,1,50,0,266912,19128.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1026,40,12,13,7,5,1,5,39,1,520586,34430.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
374,24,4,12,7,9,1,1,40,1,241951,15820.56,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2191,19,13,12,8,9,0,0,3,0,171306,49091.64,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
152,36,2,13,1,5,1,10,40,1,207157,16072.5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2541,36,10,13,2,4,0,17,60,0,246449,26785.36,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1387,44,10,10,3,9,1,12,40,0,139338,25245.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2326,32,3,17,9,4,1,5,55,0,195891,17713.0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2152,20,10,13,6,6,0,1,40,0,137651,32499.9,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2382,40,12,17,5,4,1,1,40,1,163215,35071.5,1,10520,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1555,35,12,17,5,3,0,4,38,0,239755,33831.56,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1085,63,9,17,7,7,0,27,40,1,150389,20534.76,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
710,61,6,12,8,4,1,1,40,0,128831,23475.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2705,28,14,12,5,9,1,5,45,0,480861,44315.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1543,31,4,12,6,6,1,2,40,1,367314,20711.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28,23,8,16,2,7,1,3,52,0,190709,31262.5,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2693,64,6,21,6,6,0,43,40,1,194894,20386.5,1,4787,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
775,71,8,18,2,7,1,25,40,0,143437,30455.0,1,10605,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1654,23,11,13,1,3,1,3,44,0,228243,32230.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2092,23,8,9,9,10,1,2,60,0,282604,19823.0,1,7688,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1827,34,8,14,1,9,0,2,40,0,229732,23968.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2229,75,4,6,8,7,0,36,5,0,164849,15713.4,1,1409,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
885,56,12,12,5,9,1,11,55,0,112840,42783.5,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2169,66,8,17,10,10,1,11,40,0,177351,25193.53,1,-2174,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1052,47,4,12,4,6,1,2,40,1,45857,16660.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
86,30,6,12,4,5,0,6,35,1,117747,20953.5,1,-1573,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2458,43,13,17,4,9,0,7,65,0,125461,47959.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2114,22,11,13,2,3,0,0,25,0,196943,35222.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1519,49,8,12,5,6,1,3,43,1,32212,23567.8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
369,41,10,18,9,9,1,1,65,0,445382,25573.11,1,-1977,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1574,37,4,12,7,5,0,16,40,1,349689,23242.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,21,9,13,2,1,0,1,40,0,197200,28344.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1314,47,6,12,5,9,0,3,38,0,34248,19251.84,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1230,65,8,18,4,9,1,9,40,0,198766,26005.87,1,20051,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1959,63,9,18,10,8,0,3,68,0,54052,30392.52,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
965,58,8,12,2,4,1,0,60,0,81642,24361.44,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2037,19,10,13,2,4,1,0,10,1,242941,29447.88,1,-1602,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1239,17,3,9,4,1,0,1,5,0,46496,13964.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1882,56,7,12,4,3,1,4,46,1,160829,21062.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2199,48,3,12,4,7,0,10,37,1,207058,22190.5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2324,41,8,12,3,7,1,3,50,0,183203,23505.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
158,28,6,12,6,6,0,2,40,0,175325,24469.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1502,27,7,13,2,1,0,1,50,0,128059,26591.0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
761,26,5,17,3,4,0,5,40,1,96467,17010.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2106,62,8,10,1,5,0,6,40,0,134768,25543.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
373,41,6,13,5,1,0,6,24,1,42346,22384.44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
466,74,2,13,7,6,0,10,9,1,99183,16540.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
300,76,13,18,2,3,0,2,10,0,174309,53954.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2702,38,2,8,5,7,1,8,40,0,53930,13536.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2546,28,3,12,2,4,0,1,40,1,369114,20467.56,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1356,47,4,17,5,10,1,24,40,0,246891,20606.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2301,29,9,12,5,7,0,9,65,0,29616,26392.23,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1848,37,18,14,5,8,1,5,40,0,367237,117147.5,1,8614,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2002,33,8,5,1,5,0,5,40,0,189843,27210.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
812,23,6,12,7,5,0,1,40,0,543028,24736.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
990,33,9,17,3,10,1,3,45,1,35378,24466.69,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
391,17,2,9,6,4,1,0,40,0,202521,15872.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1844,18,4,9,6,4,1,0,20,0,283342,19999.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1422,38,10,17,5,2,0,10,10,0,322143,27721.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
270,29,11,17,8,9,0,1,56,0,220419,28708.0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2259,54,7,18,9,3,0,7,40,1,169785,24660.13,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
301,63,4,12,3,1,0,9,45,0,78383,19856.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1068,19,5,13,4,9,1,1,25,1,187161,16968.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2444,41,2,12,3,9,0,3,40,1,194710,19627.44,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
228,40,14,16,8,2,1,2,60,0,207578,64442.95,1,-1977,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1742,25,12,12,6,2,0,2,40,0,169990,36536.4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
706,48,11,14,10,3,1,4,50,0,102102,39259.5,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1461,27,5,8,1,9,0,4,40,1,284196,17122.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
913,23,11,12,9,7,0,1,40,1,129042,34271.4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
337,22,10,16,2,8,0,0,15,1,362589,29210.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1316,26,7,14,8,6,1,3,40,1,183077,21721.68,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
939,30,12,17,4,9,1,3,40,0,296453,40781.82,1,7298,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2548,33,3,14,4,7,0,2,40,1,149220,16193.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2102,21,6,9,8,2,1,0,40,1,191460,16079.52,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
811,34,6,13,9,3,0,12,40,0,175878,22385.27,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1486,43,6,17,7,6,1,1,40,0,184378,20461.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1344,58,7,12,4,1,0,5,40,0,48433,19253.76,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1258,43,7,12,7,6,0,9,78,0,196945,17871.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
949,34,2,16,5,6,0,2,40,1,157886,16623.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
566,58,13,12,5,8,0,5,60,0,35723,50405.04,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1307,35,6,13,1,2,1,1,45,0,67728,19549.0,1,-2051,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2342,41,10,12,4,1,0,4,40,0,263339,28440.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
810,53,3,8,6,4,1,7,60,0,311020,15357.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1254,42,7,12,1,9,1,3,32,1,51795,24913.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1402,24,4,13,8,6,1,5,30,0,198148,19160.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2415,18,11,9,9,2,1,1,20,0,132652,37958.64,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
284,35,8,16,7,4,0,4,40,0,193815,26130.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2596,55,11,20,3,10,1,14,50,0,183869,38485.32,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2056,52,5,13,4,2,0,31,40,0,284129,18451.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1868,47,8,13,10,9,1,10,45,0,304133,24697.5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1646,52,10,12,9,3,0,6,40,1,198744,24036.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
97,29,10,12,8,2,0,0,40,0,103432,28267.68,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2046,31,3,12,9,3,0,3,40,0,219509,16870.2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
143,23,7,17,8,8,0,1,40,0,214542,23422.85,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
857,35,10,13,7,3,0,3,60,0,368825,26037.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1226,43,6,14,4,1,0,3,35,1,169203,16102.92,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
543,24,4,12,1,9,0,0,40,0,247564,16463.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2073,26,10,17,5,4,0,3,40,1,62438,32471.23,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2316,51,10,12,3,9,1,3,40,1,103407,24842.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
295,62,12,12,8,6,1,17,24,1,159841,41362.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1947,59,4,8,4,5,0,24,30,1,151977,20983.74,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8,31,12,18,6,3,1,4,50,1,45781,39753.36,1,14084,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
458,20,2,13,5,2,1,1,24,0,214635,14203.2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2620,19,1,12,8,5,0,0,40,0,89397,16870.56,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1161,29,10,12,7,7,0,8,40,1,419721,24938.04,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1807,23,5,13,5,7,0,1,50,1,54472,17787.56,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
889,39,13,17,5,10,1,3,50,0,329980,52578.5,1,15024,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
236,32,10,12,2,4,1,5,30,1,172579,31636.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
803,35,2,12,1,3,0,5,45,0,152375,16990.44,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2432,34,13,13,1,4,1,1,55,0,89644,36683.0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1607,66,13,4,4,9,1,13,40,1,142723,53666.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
397,34,14,13,4,4,0,13,40,1,117018,52851.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2112,22,11,13,4,2,1,0,30,1,217421,30749.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2291,22,6,13,4,4,0,3,21,1,123727,19232.04,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
142,48,16,12,4,2,0,8,46,0,187715,93691.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1343,32,16,16,5,7,0,8,42,0,123253,92631.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2208,69,2,12,4,3,0,11,8,0,183958,19176.84,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1796,75,8,18,7,1,0,2,50,1,30599,20887.92,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
613,18,7,9,7,1,0,0,5,1,59342,18126.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2493,61,7,12,8,5,1,1,35,1,153048,24245.5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2086,37,4,13,3,8,1,4,40,0,200863,20927.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1785,54,12,13,3,2,0,14,45,0,138852,32218.35,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
92,32,6,12,3,4,1,10,40,0,249409,21926.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1636,31,12,5,1,1,0,2,40,0,332379,33817.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
